Words,Definitions,Examples
discreet,marked by prudence or modesty and wise self-restraint,"Sarkozy has attempted to tone down his image, becoming more discreet about his private life."
discretionary,not earmarked; available for use as needed,Steeper prices for basic necessities have forced many to cut back on more discretionary purchases.
discriminating,showing or indicating careful judgment and discernment,"Jobs’ Apple specializes in delighting the most discriminating, hard-to-please customers."
discursive,tending to cover a wide range of subjects,"“Tabloid,” like his previous films, consists largely of long, discursive conversations — in effect monologues directed at an unseen, mostly unheard interlocutor."
disembark,"exit from a ship, vehicle, or aircraft",The immigrants disembarked from their ships tired and underfed—generally in poor health.
disgorge,cause or allow to flow or run out or over,"There are telephone poles and cinder blocks and living room chairs and large trash bins, overturned and disgorging their soggy contents."
dispassionate,unaffected by strong emotion or prejudice,"The commission sitting by, judicial, dispassionate, presided with cold dignity over the sacrifice, and pronounced it good."
dispatch,send away towards a designated goal,More than one assassin was dispatched by the Turkish authorities to murder Napoleon.
disport,"occupy in an agreeable, entertaining or pleasant fashion","Straightway the glade in which they sat was filled with knights, ladies, maidens, and esquires, who danced and disported themselves right joyously."
disposition,your usual mood,Melancholia — the state of mind — can hide behind seemingly sunny dispositions.
disquisition,an elaborate analytical or explanatory essay or discussion,"Cumulatively, what emerges from To Kill a Mockingbird is a thoughtful disquisition that encompasses – and goes beyond – the question of racial bias at its worst."
dissemble,make believe with the intent to deceive,Pictures have always dissembled – there are millions of snaps of miserable families grinning bravely – but now they directly lie.
dissimulate,hide feelings from other people,"From infancy these people have been schooled to dissimulate and hide emotion, and ordinarily their faces are as opaque as those of veteran poker players."
distend,swell from or as if from internal pressure,Some kids said LaNiyah's distended abdomen looked like she was carrying a baby.
distinction,a discrimination between things as different,But such a distinction is quite external; at heart the men may be very much alike.
diversified,having variety of character or form or components,"Funds in both categories tend to be highly diversified, typically with 100 or more stocks across at least 10 industries."
divulge,make known to the public information previously kept secret,She hectors her children not to divulge personal information like phone numbers online.
docile,easily handled or managed,"Time and again humans have domesticated wild , producing tame individuals with softer appearances and more docile temperaments, such as dogs and guinea pigs."
dogged,stubbornly unyielding,"Some analysts expect Mr. Falcone, who is known for his dogged determination, to just continue to limp along while slashing costs."
doggerel,a comic verse of irregular measure,"He sang, with accompanying action, some dozen verses of doggerel, remarkable for obscenity and imbecility."
dormer,a gabled extension built out from a sloping roof,"Other features, such as the front French doors and two roof dormers with curved-top windows and operable shutters, give this home a pleasing, well-balanced presence."
dotage,mental infirmity as a consequence of old age,"He is, as you say, a senile old man in his dotage."
dote,shower with love; show excessive affection for,"He doted on him, just dearly loved him, and thought he could do no wrong,” Kredell said."
dregs,sediment that has settled at the bottom of a liquid,"""Right got to go,"" Ali says, draining the dregs of his beer."
dulcet,pleasing to the ear,Ever and anon the dulcet murmur of gurgling streams broke gently on the ear.
dutiful,willingly obedient out of a sense of respect,"Perhaps he thinks an engaged young lady should be demure and dutiful, having no eyes or ears for any one except her betrothed."
dwell,think moodily or anxiously about something,But it is hardly necessary to dwell on so normal an event.
dyspeptic,irritable as if suffering from indigestion,One may begin with heroic renunciations and end in undignified envy and dyspeptic comments outside the door one has slammed on one's self.
earnest,"characterized by a firm, sincere belief in one's opinions",Too much praise cannot be given to the earnest and efficient missionaries who founded and have maintained this mission.
ebb,fall away or decline,"Although Gardner’s competitive appetite ebbed after 2004, other cravings did not."
edict,a formal or authoritative proclamation,An edict was issued by him forbidding any Christian to give instruction in Greek literature under any circumstances.
edifice,a structure that has a roof and walls,They are here erecting a fine stone edifice for an Episcopal Church.
effervescence,the property of giving off bubbles,"Both were in the very sparkle and effervescence of that fanciful glee which bubbles up from the golden, untried fountains of early childhood."
effete,"excessively self-indulgent, affected, or decadent",John Bull was an effete old plutocrat whose sons and daughters were given up to sport and amusement.
effluvium,a foul-smelling outflow or vapor,"However, acting on my best judgment, I struck a downward course, and then suddenly a horrible effluvium was wafted to my nostrils."
effulgence,the quality of being bright and sending out rays of light,"Then, all at once, in a way that seemed to frighten her, the sunshine had burst the clouds, and dazzled her with its effulgence."
egregious,conspicuously and outrageously bad or reprehensible,"“These offenses are very serious, even egregious,” the judge said."
elaborate,marked by complexity and richness of detail,But the tobacco industry and owners of other convenience stores say tribal cigarette manufacturing is just an elaborate form of tax evasion.
ellipsis,a mark indicating that words have been omitted,"He speaks in ellipses, often leaving sentences hanging, and fiddles apologetically with his BlackBerry."
elude,"escape, either physically or mentally","But despite racking up world titles, Olympic gold was eluding him."
elysian,of such excellence as to suggest inspiration by the gods,"Life seemed an elysian dream, from which care and sorrow must be for ever banished."
emblazon,decorate with heraldic arms,His coat of arms was emblazoned on the cover.
emboss,raise in a relief,Requests may also be made of the stationer to use an embossed plate so that the letters stand out in relief.
embroil,force into some kind of situation or course of action,"But Mr. Marbury, often embroiled in controversy during his N.B.A. days, seems to have found some measure of peace in China."
emend,make corrections to,The following were identified as spelling or typographic errors and have been emended as noted.
emetic,a medicine that induces nausea and vomiting,"The juice of this herb, taken in ale, is esteemed a gentle and very good emetic, bringing on vomiting without any great irritation or pain."
emolument,compensation received by virtue of holding an office,"As the TUC has pointed out, those incomes – except for senior executives, whose emoluments seem to know few bounds – are rising more slowly than prices."
enamor,attract,Young Indian audiences are so enamored with reality television that they will not watch the soap operas and dramas that their parents or grandparents watch.
enclave,an enclosed territory that is culturally distinct,"And its suburban schools, rather than being exclusive enclaves, include children whose parents can't afford a house in the neighborhood."
encroachment,entry to another's property without right or permission,The move may mark yet another attempt by France to rein in what it sees as the encroachment of online services on the country's culture.
encumber,"hold back, impede, or weigh down",Two others were making slower progress for the reason that each was encumbered by supporting a disabled man.
endemic,of a disease constantly present in a particular locality,Mean-spirited chants and songs are also endemic in British soccer.
endow,furnish with a capital fund,"The grammar school here, founded in 1533, is liberally endowed, with scholarships and exhibitions."
endue,give qualities or abilities to,"To say the least of it, he was endued with sufficient intelligence to acquire an ordinary knowledge of such matters."
enduring,unceasing,What makes the galumphing hubby such an enduring stock character?
enervate,"weaken physically, mentally, or morally","The reviewers have enervated men’s minds, and made them indolent; few think for themselves."
engage,consume all of one's attention or time,"We had nearly two hundred passengers, who were seated about on the sofas, reading, or playing games, or engaged in conversation."
enigma,something that baffles understanding and cannot be explained,"Tails are often an enigma; many creatures have them, but scientists know little about their function, particularly for extinct species."
enjoin,give instructions to or direct somebody to do something,"He turned to beckon the others forward with one hand, while laying the other over his mouth in a gesture enjoining silence."
enrapture,hold spellbound,"I was delighted, enraptured, beside myself--the world had disappeared in an instant."
ensconce,fix firmly,"Though she is firmly ensconced in a writing career, Ms. Freud, 48, said that in the early days she missed acting terribly."
ensue,take place or happen afterward or as a result,"An uproar ensued months after the approval, when opponents realized the online gambling measure had been slipped in."
entertain,provide amusement for,The first Super Bowl in 1967 featured college marching bands entertaining the crowds at halftime.
entomology,the branch of zoology that studies insects,"From the department of entomology you expect to learn something about the troublesome insects, which are so universal an annoyance."
entreat,ask for or request earnestly,"""Let me go now, please,"" she entreated, her eyes unable to meet his any longer."
equable,not varying,"His must have been that calm, equable temperament not easily ruffled, which goes with the self-respecting nature."
erode,become ground down or deteriorate,"Another report today showed home prices fell more than forecast in November, eroding the wealth of families as they seek to rebuild savings."
errant,straying from the right course or from accepted standards,"As the crowd voiced its displeasure, the referees made sure Wisconsin got the ball, but pass was errant and rolled out of bounds at midcourt."
erstwhile,belonging to some prior time,"Sony, whose erstwhile dominance in consumer electronics has been eroded by the likes of Samsung, could beat rivals to a potentially new generation of devices."
eschew,avoid and stay away from deliberately,Morrissey is among those seniors who are eschewing nursing homes in favor of independent living.
espouse,"choose and follow a theory, idea, policy, etc.",He said Islam should not be equated with terrorism or the kind of violence espoused by Bin Laden.
establish,set up or found,"A small French colony, Port Louis, was established on East Falkland in 1764 and handed to the Spanish three years later."
esteem,the condition of being honored,"Despite being held in the highest esteem by his fellow poets, Redgrove never quite achieved the critical reception or readership he deserved."
estrange,arouse hostility or indifference in,"An atmosphere of distrust, suspicion and fear can cause workers to feel estranged from one another, Dr. Wright has written."
eugenic,causing improvement in the offspring produced,"Eugenics was aimed at creating a better society by filtering out people considered undesirable, ranging from criminals to those imprecisely designated as “feeble-minded.”"
euphony,any pleasing and harmonious sounds,It depends somewhat on usage and on euphony or agreeableness of sound.
evanescent,short-lived; tending to vanish or disappear,"Time seems stopped but it is moving on, and every glimmer of light is evanescent, flitting."
evident,clearly revealed to the mind or the senses or judgment,That confidence was certainly evident in the way Smith handled the winning play with 14 seconds left on the clock.
exalt,"praise, glorify, or honor",Some exalt themselves by anonymously posting their own laudatory reviews.
exasperate,irritate,"Shopkeepers, exasperated at the impact of higher taxes and reduced consumer spending, are planning to close down for the day."
excise,remove by cutting,"Wielding a razor, Jefferson excised all passages containing supernaturalistic elements from the gospels, extracting what he took to be Jesus's pure ethical teachings."
execrable,unequivocally detestable,"But minds were so overexcited at the time that the parties mutually accused each other, on all occasions, of the most execrable crimes."
execrate,curse or declare to be evil or anathema,"When all Great Britain was execrating Napoleon, picturing him as a devil with horns and hoofs, Byron looked upon him as the world's hero."
exegesis,an explanation or critical interpretation,Its musical significance has been presented with illuminating exegesis by more than one commentator.
exert,make a great effort at a mental or physical task,School boards may come to exert even greater influence over what students read.
exertion,use of physical or mental energy; hard work,"One day overcome by exertion, she fainted in the street."
exigency,a pressing or urgent situation,The exigency of the situation roused Mr. Popkiss' sluggish faculties into prompt action.
exorbitant,greatly exceeding bounds of reason or moderation,"Soon, stories began trickling across the Atlantic of crazed fans paying exorbitant sums to get into London gigs."
expatiate,add details to clarify an idea,"He then expatiated on his own miseries, which he detailed at full length."
expiate,make amends for,Wulphere was absolved on condition that he should expiate his crime by founding churches and monasteries all over his kingdom.
explicate,"elaborate, as of theories and hypotheses",He urged judges to resist the rigid guidelines and to write opinions explicating their reasons for doing so.
exploit,draw from; make good use of,"As humans increasingly exploit the deep seas for fish, oil and mining, understanding how species are dispersed is crucial, Copley said."
exploitation,an act that victimizes someone,"In a scathing report released last year, Amnesty International found there was widespread exploitation of migrants in Malaysia."
expostulation,the act of expressing earnest opposition or protest,"He even believed he saw visions with his own bodily eyes, and no expostulations of his friends could drive this belief out of his head."
extenuate,lessen or to try to lessen the seriousness or degree of,Prosecutors often spend time weighing mitigating and extenuating circumstances before deciding to seek the death penalty.
extol,"praise, glorify, or honor","How I praised the duck at that first dinner, and extolled Madame's skill in cookery!"
extort,obtain by coercion or intimidation,"The owners, in turn, have called the lawyers shakedown artists bent on ruining their good reputations to extort money."
extravagant,recklessly wasteful,"Advisers say new millionaires are prone to mistakes, like making extravagant purchases or risky deals with friends."
facile,arrived at without due care or effort; lacking depth,"As one teacher remarks about a troubled student, “There is no facile solution.”"
faction,a dissenting clique,One faction declared it would begin an armed struggle against the government of the United States.
factious,dissenting with the majority opinion,"Will it be answered that we are factious, discontented spirits, striving to disturb the public order, and tear up the old fastnesses of society?"
factitious,not produced by natural forces; artificial or fake,"Indeed, the Chinese make a factitious cheese out of peas, which it is difficult to discriminate from the article of animal origin."
fad,an interest followed with exaggerated zeal,"According to Chinese media, the hottest new fad in China involves selling small live-animal key chains."
fallow,undeveloped but potentially useful,"Several new prostate cancer drugs have been approved in the last couple of years, after a long fallow period, and others are in advanced development."
fancy,imagine; conceive of; see in one's mind,"For a time, indeed, he had fancied that things were changed."
fanfare,a gaudy outward display,"It opened a month ago to considerable fanfare, with television cameras trailing government officials meandering proudly around the bright new stores filled with imported goods."
fare,"proceed, get along, or succeed",A recent study breaks down how graduates with various college degrees are faring in today’s difficult job market.
fathom,come to understand,"But after flying for so many years, the idea of hanging up his sparkling wings is hard for him to fathom."
fatuous,devoid of intelligence,"They're too stupid, for one thing; they go on burning houses and breaking windows in their old fatuous way."
fawning,attempting to win favor by flattery,"“As any cult leader, he was extremely good at milking the rich, at flattering and fawning,” Ms. Gordon said."
felicitous,exhibiting an agreeably appropriate manner or style,"The first book is the finest, sparkling with felicitous expressions and rising frequently to true poetry."
fervent,characterized by intense emotion,"But, to fervent applause and scattered fist pumps from two sets of worshipers, he pledged to legally challenge the claims against him."
fiasco,a complete failure or collapse,"The Stuttgart protests became a national fiasco in late September, when protesters clashed with police wielding batons and water cannons."
filch,make off with belongings of others,"Then, in place of the real site, it displays a fake site created? to filch account numbers, login names and passwords."
financial,involving fiscal matters,"Meanwhile, universities have raised tuition every year, putting many students in a financial bind."
firebrand,someone who deliberately foments trouble,"But Hassan is not some teenage firebrand hurling rocks; he’s a slight, graying scholar committed to peace."
fissure,a long narrow depression in a surface,"The brown bark is not very rough, though its numerous fissures and cracks give it a rugged appearance."
fitful,occurring in spells and often abruptly,"She had lost her composure, her breath came in fitful, uneven gasps, and as she sat there she pressed one hand over her heart."
flag,a rectangular piece of cloth of distinctive design,Palestinian President Mahmoud Abbas declared three days of mourning and ordered flags flown at half staff.
flail,thrash about,"Exercise is prescribed, but when she joins an aqua aerobics class, she flails embarrassingly."
flair,a natural talent,"In fact, while Lamarr qualified as an inventive genius for her artistic flair, she fell somewhat short on her scientific acumen."
flay,strip the skin off,Once at the moose and hastily flaying the hide from the steaming meat my attention became centered on the task.
flotilla,a fleet of small craft,"She was guarded by a flotilla of boats equipped with satellites, Global Positioning System devices, advanced navigation systems and shark shields."
flourish,grow vigorously,"His business had been all along steadily flourishing, his patrons had been of high social position, some most illustrious, others actually royal."
foil,"hinder or prevent, as an effort, plan, or desire","On March 1st, a Turkish newspaper reported that the country's intelligence service had foiled an attempt by Syrian agents to kidnap the colonel."
foist,force onto another,Mr. Knoll added that the 3-D “Star Wars” movies are not “going to be foisted on anybody against their will.”
foolhardy,marked by defiant disregard for danger or consequences,"Many mistakes—extravagant purchases, foolhardy investments—are made in the first months after a windfall."
ford,cross a river where it's shallow,"Sometimes they drive their teams through unsettled country, without roads, swimming and fording streams, clearing away obstructions, and camping where night overtakes them."
forebear,a person from whom you are descended,"His forebears were Greek immigrants who opened a small sandwich shop in Brooklyn, then moved, one after another, to Providence, to sell distinct, delectable wieners."
foreboding,a feeling of evil to come,"Mr. Harding had strong forebodings that the trouble, so far from being ended, was only just beginning."
formal,characteristic of or befitting a person in authority,"A formal decision to call off the search is likely on Wednesday, rescue officials said."
forsake,leave someone who needs or counts on you; leave in the lurch,"""I'm surprised,"" said Philip, cautiously opening fire, ""that you were ever allowed to forsake your native land."""
fortitude,strength of mind that enables one to endure adversity,"Leigh Hunt bore himself in his captivity with cheerful fortitude, suffering severely in health but flagging little in spirits or industry."
foster,promote the growth of,Mr. Horne accused the district’s Mexican-American studies program of using an antiwhite curriculum to foster social activism.
fracas,a noisy quarrel,"Other cops were battling each other, going after the kids and clutching empty air, cursing and screaming unheard orders in the fracas."
fractious,easily irritated or annoyed,"He was a fractious invalid, and spared his wife neither time nor trouble in attending to his wants."
fraught,filled with or attended with,"But the ocean remains an unpredictable place, fraught with hazards."
fray,a noisy fight,Armed rebels have joined the fray in recent months.
fresco,a mural done with watercolors on wet plaster,"The little church has an ancient fresco of St. Christopher, placed, as usual, opposite the entrance."
frieze,an ornament consisting of a horizontal sculptured band,"All the doorways mentioned above have cornices, and in those at Palmyra and Baalbec richly carved friezes with side corbels."
frontier,a wilderness at the edge of a settled area of a country,"Adding to the precarious security situation, tribesmen kidnapped 18 Egyptian border guards along the frontier with Israel in Sinai Peninsula."
fructify,become productive or fruitful,"Thence they grow, expand, fructify, and the result is Progress."
frustrate,"hinder or prevent, as an effort, plan, or desire","Frustrated after two years of missed budget targets, finance chiefs demanded Greek officials put their verbal commitments into law."
fulminate,criticize severely,"But with people looking for almost any excuse to fulminate against airlines these days, there's a certain risk of embellishment."
functionary,a worker who holds or is invested with an office,"He was the functionary of the assize court, impaneling its juries, bringing accused men before it, and carrying out its penalties."
furnish,provide with objects or articles that make a room usable,"Instead, according to court documents, the money went toward furnishing mansions, flying in private jets, and retaining a $120,000-a-year personal hairstylist."
gadfly,a persistently annoying person,Mr. Phelps is regarded here as the ultimate example of an irritating local gadfly.
gainsay,take exception to,"That Whitman entertained a genuine affection for men and women is, of course, too obvious to be gainsaid."
gale,a strong wind moving 34–40 knots,"The gale was accompanied, as usual, by incessant rain and thick weather, and a heavy confused sea kept our decks always flooded."
garble,distort or make false by mutilation or addition,"But the fact remains that the contradictory and inconsistent things said do reach the public, and usually in garbled and distorted form."
garish,tastelessly showy,"With its opulently garish sets and knee-jerk realism, the production dwarfed the cast, no matter what stars were singing."
gaunt,very thin especially from disease or hunger or cold,"Gaunt, starved, and ragged, the men marched northwards, leaving the Touat country upon their left hand."
gawk,look with amazement,He speaks mainly of his humiliation at lying on the sidewalk as hipsters gawked.
generate,bring into existence,Qualities such as these are not generated under bad working practices of any sort.
genesis,a coming into being,"He found himself speculating on the genesis of the moral sense, how it developed in difficulties rather than in ease."
gentility,elegance by virtue of fineness of manner and expression,This was no rough bully of the seas; Carew's bearing and dandified apparel bespoke gentility.
gentry,the most powerful members of a society,"The mode of travel of the gentry was riding horses, but most people traveled by walking."
gestate,develop in the mind; have the idea for,"Mr. Lucas’s most recent project, still gestating, is a collaboration with Cuban musicians."
gibe,laugh at with contempt and derision,So much did their taunts prey upon him that he ran away from school to escape their gibes.
gird,prepare oneself for action or a confrontation,Protesters are girding for another police raid as several City Council members have called on protesters to leave.
gist,the central meaning or theme of a speech or literary work,"The syntax was a little off, even comical at times, but I got the gist of what was going on."
glib,having only superficial plausibility,The other sort of engineer understands that glib comparisons between computers and humans don't do justice to the complexities of either.
glower,look angry or sullen as if to signal disapproval,"A moment later he would collapse, sit glowering in his chair, looking angrily at the carpet."
gouge,swindle; obtain by coercion,Shortages also have raised concerns about higher prices and gouging by wholesale drug companies that obtain supplies of hard-to-get drugs and jack up the costs.
granary,a storehouse for threshed grain or animal feed,"Here is where he does his husking, and the ""clear corn"" produced is stored away in some underground granary till It is needed."
grandiloquent,lofty in style,"A large part of his duties will be to strut about on the stage, and mouth more or less unintelligible sentences in a grandiloquent tone."
grant,allow to have,"He had been granted entry into the White House only for the daily briefing, later that afternoon."
grapple,work hard to come to terms with or deal with something,"But, he said, all coastal communities will have to grapple with rising seas."
gratis,costing nothing,"""Would you admit them gratis?"" asked Mr. Castlemaine with a smile, ""or would they have to pay, like ordinary residents in an hotel?"""
gravity,the force of attraction between all masses in the universe,"Once captured, the combined object will have a new center of gravity and may be spinning in an uncontrolled way."
gripe,complain,"If America is going to gripe about the yuan’s rate, then China will complain about the dollar’s role."
grisly,shockingly repellent; inspiring horror,"Television video showed a heavily damaged building and a grisly scene inside, with clothing and prayer mats scattered across a blood-splattered floor."
grove,a small growth of trees without underbrush,"Soon after we came to Pasadena, father bought an orange grove of twenty-five acres."
grovel,show submission or fear,The two young men who drove them had fallen flat and were grovelling and wailing for mercy.
grudging,petty or reluctant in giving or spending,"Expect delays, scattered outages and surly, grudging customer service in the interim."
gruel,a thin porridge,"He says, keep them on just two pints of Indian-meal gruel—by which he appears to mean thin hasty pudding—a day, and no more."
gusto,vigorous and enthusiastic enjoyment,"The audience, surprisingly large given the inclement weather, responded with gusto, applauding each song, including those within the Shostakovich cycle."
gusty,blowing in puffs or short intermittent blasts,"Winds could get gusty, occasionally blowing at more than 30 miles per hour."
hackneyed,repeated too often; overfamiliar through overuse,Many speakers become so addicted to certain hackneyed phrases that those used to hearing them speak can see them coming sentences away.
haggle,"wrangle, as over a price or terms of an agreement","Obama said while officials can haggle over the makeup of spending cuts, the policy issues have no place in the measure."
halcyon,idyllically calm and peaceful; suggesting happy tranquility,"He now seemed to have entered on a halcyon period of life—congenial society, romantic and interesting surroundings."
hale,exhibiting or restored to vigorous good health,"From a hearty, hale, corn-fed boy, he has become pale, lean, and wan."
halting,"proceeding in a fragmentary, hesitant, or ineffective way","“I so much love cricket,” he said, shyly, in halting English."
harrowing,causing extreme distress,Belgium found itself in turmoil as hundreds of people came forward to offer harrowing accounts of abuse over several decades.
harry,annoy continually or chronically,There’s something uplifting about hearing a string instrument when I’m feeling ragged or harried.
headlong,in a hasty and foolhardy manner,“They may not be wishing to rush headlong back into the same sort of risks just yet.”
heed,pay close attention to,But Cain was already too far gone to heed the warning voice.
herculean,displaying superhuman strength or power,"He made herculean efforts to get on terms with his examination subjects, and worked harder than he had ever done in his life before."
hermitage,the abode of a recluse,"All the rest of their time is passed in solitude in their hermitages, which are built quite separate from one another."
hew,make or shape as with an axe,"They bought a log chain, and lumber for a door; the window frames were hewed from logs."
heyday,the period of greatest prosperity or productivity,Playboy's most popular years are well behind it - the magazine enjoyed its heyday in the 1970s.
hireling,a person who works only for money,"Why should I?—a mere police detective, who had been hired to do a service and paid for it like any other hireling."
hoary,ancient,"The device of the trapped young person saved by books is a hoary one, but Ms. Winterson makes it seem new, and sulfurous."
homespun,characteristic of country life,"His rural, homespun demeanor ordinarily might elicit snickers from India’s urban elite."
homily,a sermon on a moral or religious topic,"In his New Year's homily, the pope said ""words were not enough"" to bring about peace, particularly in the Middle East."
hoodwink,influence by slyness,The stories of the saints he regarded as preposterous fables invented to hoodwink a gullible and illiterate populace.
horde,a moving crowd,"Hordes of puzzled tourists, many with rolling suitcases attached, poured down the staircases."
hubbub,loud confused noise from many sources,"There was some good-humoured pushing and thrusting, the drum beating and the church bells jangling bravely above the hubbub."
humble,marked by meekness or modesty; not arrogant or prideful,"“Challenging yourself, playing up against stronger, tougher, and overall better competition will keep you humble.”"
humiliate,cause to feel shame,"The letter claims pensioners are too often patronised, humiliated, denied privacy or even medical treatment."
hummock,a small natural mound,"Captain Bill leaned back on a hummock of earth, his arms folded behind his head."
hurtle,move with or as if with a rushing sound,The hurricane was expected to hit Washington in the early hours of Sunday before hurtling toward New York City.
husbandry,the practice of cultivating the land or raising stock,"The U.S. can take a lesson from Denmark, which has efficiently raised livestock without hurting farmers, by using better animal husbandry practices."
iconoclast,someone who attacks cherished ideas or institutions,"Jobs is a classic iconoclast, one who aggressively seeks out, attacks, and overthrows conventional ideas."
ideology,an orientation that characterizes the thinking of a group,"Bill O’Reilly and others picked up on the theme, summing up left-wing ideology as “San Francisco values.”"
idiosyncrasy,a behavioral attribute peculiar to an individual,One of his well-known idiosyncrasies was that he would never allow himself to be photographed.
ignominious,deserving or bringing disgrace or shame,The great Ottawa chief saw his partially accomplished scheme withering into ignominious failure.
ignominy,a state of dishonor,"After all, we love nothing better than seeing the powerful and formerly smug dragged across the front pages in ignominy."
illustrious,widely known and esteemed,"She will be joining an illustrious list of recipients that include Winston Churchill, Nelson Mandela, Pope John Paul II and Princess Diana."
imbibe,take in liquids,"""We're cornered at last,"" he said suddenly, as the old man set the bottle down after having imbibed the best half of its contents."
immure,"lock up or confine, in or as in a jail","Political prisoners, numbering as many as three or four hundred at a time, have been immured within its massive walls."
immutable,not subject or susceptible to change or variation,"We are mistaken to imagine a work of literature is or should be immutable, sculpted in marble and similarly impervious to change."
impart,"transmit, as knowledge or a skill","Long before writing and books were in common use, proverbs were the principal means of imparting instruction."
impel,cause to move forward with force,Some power beyond his comprehension was impelling him toward the neighboring city.
impertinent,improperly forward or bold,"Imagine calling a famous writer by his first name—it seemed impertinent, to say the least."
imperturbable,marked by extreme calm and composure,"Ordinarily imperturbable, even in the face of unexpected situations, he was now visibly agitated."
impetus,a force that makes something happen,"Critics say it has known mixed success at best, although supporters hope the U.S. drawdown could provide just the impetus it needs to thrive."
impiety,unrighteousness by virtue of lacking respect for a god,"That, however, is unbelief, extreme impiety, and a denial of the most high God."
implacable,incapable of being appeased or pacified,This man was a savage in his implacable desire for revenge.
impolitic,"lacking tact, shrewdness, or prudence","Bill Maher has always been a vocal critic of Islam, even at times making impolitic statements about the religion."
importunate,making persistent or urgent requests,The young man was then passionately importunate in the protestations of his love.
imposed,set forth authoritatively as obligatory,The Arab League has already suspended Syria and imposed economic sanctions.
imposing,impressive in appearance,These buildings were grand and stylized with intricate details and a bit of an imposing presence.
imposition,an uncalled-for burden,"On that far-away day he had considered the little, lost girl a nuisance and an imposition."
imposture,pretending to be another person,"He got somebody to prosecute him for false pretences and imposture, on the ground that Madame was a man."
improvident,not supplying something useful for the future,He was industrious but improvident; he made money and he lost it.
incandescent,"characterized by ardent emotion, intensity, or brilliance",Kirkwood's anger cooled apace; at worst it had been a flare of passion—incandescent.
incidental,not of prime or central importance,"The models themselves are incidental on “Scouted,” merely empty planets around which revolve some fascinating characters and plenty more dull ones."
incipient,only partly in existence; imperfectly formed,"Above all, medical teams will need to establish quick surveillance to identify health needs and pinpoint incipient outbreaks before they explode."
incisive,demonstrating ability to recognize or draw fine distinctions,A half-hour of informed and incisive questioning by Mr. Russert would have demolished Mr. Trump.
inclement,"severe, of weather",Be prepared for inclement weather and possible ice and snow on park roads.
inclined,at an angle to the horizontal or vertical position,Such an inclined passage following a seam of coal is known as a slope.
inclusive,encompassing much or everything,We are going to adhere to our basic programing strategy of nonpartisan information inclusive of all different points of view.
incongruity,the quality of disagreeing,Hanging out wet clothes and an American flag at the North Pole seemed an amusing incongruity.
inconsequential,lacking worth or importance,"But as the months went by, Mr. Kimura had an unexpected epiphany: His business, which he thought was inconsequential, mattered to a lot of people."
incorrigible,impervious to correction by punishment,She scolded and lectured her sister in vain; Cynthia was incorrigible.
inculcate,teach and impress by frequent repetitions or admonitions,But instruction in history has been for a long time systematically used to inculcate certain political sentiments in the pupils.
indemnify,make amends for; pay compensation for,She put her affairs in order and left instructions that those whom she had unwittingly wronged should be indemnified out of her private fortune.
indication,something that serves to suggest,Authorities said an autopsy found no indications of foul play or obvious signs of trauma on Houston.
indite,produce a literary work,She indited religious poems which were the admiration of the age.
infallible,incapable of failure or error,"But conductors are no more infallible than other people, and once in a blue moon in going through a train they miss a passenger."
infest,occupy in large numbers or live on a host,"Many lived in dilapidated apartments with leaky pipes, broken windows, rooms full of mold, and walls infested with cockroaches and rats."
inflammatory,arousing to action or rebellion,We don't know whether inflammatory language or images can incite the mentally ill to commit acts of violence.
ingrained,deeply rooted; firmly fixed or held,The narrow prejudices of his country were ingrained too deeply in his character to be disturbed by any change of surroundings.
ingratiate,gain favor with somebody by deliberate efforts,"He became kindly and coaxing, leaning across the table with an ingratiating smile."
inimical,tending to obstruct or cause harm,"The Hindu idea is that so long as justice and equity characterise a king’s rule, even beasts naturally inimical are disposed to live in friendship."
inimitable,matchless,"Leave aside Spain, where Barcelona breeds its own, inimitable style, and the answer might be that we are rushing toward uniformity."
iniquitous,characterized by injustice or wickedness,"This was some piece of wickedness concocted by the venomous brain of the iniquitous Vicar, more abominable than all his other wickednesses."
innate,not established by conditioning or learning,"In other words, one of our most essential abilities as humans--reading--is the product of a combination of innate and learned traits."
inscrutable,difficult or impossible to understand,"The fashion industry is notoriously opaque and often inscrutable for outsiders, even ones as well connected as him."
insensate,devoid of feeling and consciousness and animation,"Men also are those brutal soldiers, alike stupidly ready, at the word of command, to drive the nail through quivering flesh or insensate wood."
insinuate,suggest in an indirect or covert way; give to understand,"""Good heavens, do you mean to insinuate that I did anything crooked?"" said Bojo loudly, yet at the bottom ill at ease."
insist,be emphatic or resolute and refuse to budge,Interior Department officials insisted that they had conducted an extensive scientific inquiry before moving ahead with the spill response plan.
inspire,serve as the inciting cause of,"His surprising performance inspired an outpouring of fan adoration that has been dubbed ""Linsanity."""
instance,an occurrence of something,"In many instances large districts or towns would have fewer representatives than smaller ones, or perhaps none at all."
institute,set up or lay the groundwork for,Corporations have to be more and more focused on instituting higher labor standards.
insurgent,in opposition to a civil authority or government,"The Free Syrian Army, an insurgent group made of defecting soldiers and based in southern Turkey, claimed responsibility for both attacks."
intend,have in mind as a purpose,"“Lipstick, as a product intended for topical use with limited absorption, is ingested only in very small quantities,” the agency said on its website."
interdict,command against,"Failing to satisfy his examiners, he was interdicted from practice, but ignored the prohibition, and suffered more than one imprisonment in consequence."
interminable,tiresomely long; seemingly without end,"All was going well, but slowly, the time taken for the last few feet seeming to be interminable."
