Words,Definitions,Examples
fusion,the act of melding or melting together,"We pass thoughts around, from mind to mind, so compulsively and with such speed that the brains of mankind often appear, functionally, to be undergoing fusion."
grouse,complain,"“It’s taking forever,” groused a man, checking his watch."
litigation,a legal proceeding in a court,"At the end of three days of intense litigation, the judge adjourned the proceedings in the late afternoon."
magnanimity,nobility and generosity of spirit,"And the credit for that magnanimity goes to the kind of politics Gandhi practised, of non-violence – without anger at a people, but only towards an idea."
pedantic,marked by a narrow focus on or display of learning,"The voice that had spoken it was a Scholar’s, precise and pedantic and lazily arrogant, very much a Jordan College voice."
presumptuous,"going beyond what is appropriate, permitted, or courteous","I wanted to ask why he was there, but it would have been presumptuous to do so."
propitiate,make peace with,"To propitiate the North, they fixed the pre-Independence elections in favor of the North and wrote a new constitution that gave the North control of the central government."
proscribe,command against,"In 2010, a law was passed in the UK proscribing “shining a light at an aircraft in flight so as to dazzle or distract the pilot”."
pungent,strong and sharp to the sense of taste or smell,The pungent fumes of kerosene smoke mixed with the aroma of curry and nutmeg from the kitchen.
relegate,assign to a lower position,Many of the forms of discrimination that relegated African Americans to an inferior caste during Jim Crow continue to apply to huge segments of the black population today—provided they are first labeled felons.
soliloquy,speech you make to yourself,"Amidst her long soliloquies of relating everything you just said to herself, I wither away, uninspired to contribute additional words, as they would become invalidated and unheard anyhow."
