Words,Definitions,Examples
scholar,a learned person,"The people who do this work have highly developed intellectual powers, and they push themselves hard to reach a certain standard: That the results have almost no practical relevance to the students, the public, or even, frequently, to other scholars is a central element in the tragicomedy that is often academia."
severe,"very harsh or strict, especially when dealing with others",(The class was a little boring—I had a damned cold—but the punishment seemed a bit severe.)
shape,a perceptual structure,"It’s been said that raising a child effectively takes a village: Well, as you may have noticed, our American village is not in very good shape."
sheaf,a package of several things tied together,"The coach knows what your athletic prospects are, the guidance office has a sheaf of test scores that relegate you to this or that ability quadrant, and your teachers have got you pegged."
shoddy,of inferior workmanship and materials,"Shoddy work—in which the author cheats, cuts corners, copies from others—is quickly detected."
shrewd,marked by practical hardheaded intelligence,Never has there been a more shrewd and imaginative cartographer of the psyche.
significant,rich in implication,Freud challenges nearly every significant human ideal.
simple,having few parts; not complex or complicated or involved,"Colleges are even leery of disciplining guys who have committed sexual assault, or assault plain and simple."
solid,not soft or yielding to pressure,"But until I had the reincarnation stuff from a solid source, I better get to work and pick out some English classes from the course catalog."
source,the place where something begins,"But until I had the reincarnation stuff from a solid source, I better get to work and pick out some English classes from the course catalog."
statistics,a branch of mathematics concerned with quantitative data,You’ll not only question the statistics teacher about what numbers can explain but what they can’t.
stroll,"a leisurely walk, usually in some public place","Instead of being punished, these guys frequently stay around, strolling the quad and swilling the libations, an affront (and sometimes a terror) to their victims."
sublime,of high moral or intellectual value,"Reading the great writers, you may have the experience that Longinus associated with the sublime: You feel that you have actually created the text yourself."
substantial,real; having a material or factual existence,"The idea that a university education really should have no substantial content, should not be about what John Keats was disposed to call Soul-making, is one that you might think professors and university presidents would be discreet about."
suggest,make a proposal; declare a plan for something,The dean of students laughed lightly when I suggested that this behavior might be grounds for sending the student on a brief vacation.
suppress,put down by force or authority,You may find your own suppressed and rejected thoughts flowing back to you with an “alienated majesty.”
surrender,relinquish possession or control over,"I continue to hold in mind one of Emerson’s most memorable passages: “Society is a joint-stock company, in which the members agree, for the better securing of his bread to each shareholder, to surrender the liberty and culture of the eater."
surround,extend on all sides of simultaneously; encircle,"Amidst the impressive college buildings, in company with a high-powered faculty, surrounded by the best of your generation, all you need is to keep doing what you’ve done before: Work hard, get good grades, listen to your teachers, get along with the people around you, and you’ll emerge in four years as an educated young man or woman."
surrounded,confined on all sides,"Amidst the impressive college buildings, in company with a high-powered faculty, surrounded by the best of your generation, all you need is to keep doing what you’ve done before: Work hard, get good grades, listen to your teachers, get along with the people around you, and you’ll emerge in four years as an educated young man or woman."
survive,continue in existence after,To merely survive in this American village and to win a place in the entering class has taken a lot of grit on your part.
sustain,lengthen or extend in duration or space,"He never had a world of possibilities spread before him, never made sustained contact with the best that had been thought and said."
sustained,continued at length without interruption or weakening,"He never had a world of possibilities spread before him, never made sustained contact with the best that had been thought and said."
synonymous,meaning the same or nearly the same,"“Strongly spent,” the poet says, “is synonymous with kept.”"
talent,natural abilities or qualities,He had talent: My brother and I each got about half the raw ability he possessed and that’s taken us through life well enough.
temerity,fearless daring,A friend of mine had the temerity to detect cheating on the part of a kid who was the nephew of a well-placed official in an Arab government complexly aligned with the U.S.
tenure,the term during which some position is held,"The work they are compelled to do to advance—get tenure, promotion, raises, outside offers—is, broadly speaking, scholarly work."
terror,an overwhelming feeling of fear and anxiety,"Instead of being punished, these guys frequently stay around, strolling the quad and swilling the libations, an affront (and sometimes a terror) to their victims."
text,the words of something written,"Reading the great writers, you may have the experience that Longinus associated with the sublime: You feel that you have actually created the text yourself."
theory,a belief that can guide behavior,"In saying that, he (like my father) hinted in the direction of a profound and true theory of learning."
thesis,an unproved statement advanced as a premise in an argument,"All right, there’s nothing wrong with this as far as it goes—after all, the student who writes a brilliant forty-page thesis in a hard week has learned more than a little about her inner resources."
toil,work hard,The student who eschews medical school to follow his gift for teaching small children spends his twenties in low-paying but pleasurable and soul-rewarding toil.
touchstone,a basis for comparison,"Brodhead, an impressive, articulate man, seems to take as his educational touchstone the Duke of Wellington’s precept that the Battle of Waterloo was won on the playing fields of Eton."
tour,a route all the way around a particular place or area,"If I had such info, pre-law would be fine, and maybe even a tour through invertebrate biology could also be tossed in."
tradition,a specific practice of long standing,They’ve given you family traditions—you’ve learned the ways of your tribe and your community.
transcendent,exceeding or surpassing usual limits,"Schopenhauer, who despised belief in transcendent things, nonetheless thought Christianity to be of inexpressible worth."
undertake,enter upon an activity or enterprise,"If you do not undertake it, you risk leading a life of desperation—maybe quiet, maybe, in time, very loud—and I am not exaggerating."
utter,without qualification,And you will have to be tough if the professor mocks you for uttering a sincere question instead of keeping matters easy for all concerned by staying detached and analytical.
victim,an unfortunate person who suffers from adverse circumstances,"Instead of being punished, these guys frequently stay around, strolling the quad and swilling the libations, an affront (and sometimes a terror) to their victims."
vigorous,characterized by forceful and energetic action or activity,"But when we expend our energies in rightful ways, Robert Frost observed, we stay whole and vigorous and we don’t weary."
virtually,in essence or in effect but not in fact,The proof is that virtually no undergraduate students can read and understand their professors’ scholarly publications.
virtue,the quality of doing what is right,The virtue in most request is conformity.
volunteer,a person who performs work done by choice,"The professor saves his energies for the profession, while the student saves his for friends, social life, volunteer work, making connections, and getting in position to clasp hands on the true grail, the first job."
winnow,the act of separating grain from chaff,"The battle is to make such writers one’s own, to winnow them out and to find their essential truths."
